id;Photo_ID;REC_TIME;LATITUDE;LONGITUDE;Method;substrate;slice_id;slice_start;slice_end;bottle_weight;wet_weight;dry_weight;shell;syringe_diameter;crucible_weight;preMuffleBoat_weight;postMuffleBoat_weight;preMuffle_weight;postMuffle_weight;LOI
NA;Mud_1;2026-04-03 11:54:44.000 GMT+02:00;46.959318;-2.173822;NA;mud;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Mud_1;Mud_1_slice_top;2026-04-03 11:57:20.000 GMT+02:00;46.959302;-2.173817;slice;mud;0-10;0;10;17.473;47.956;36.522;FALSE;2;0.431;1.432;1.405;1.001;0.974;2.697302697
Mud_1;Mud_1_slice_top;2026-04-03 11:57:20.000 GMT+02:00;46.959302;-2.173817;slice;mud;10-20;10;20;17.479;46.733;34.526;FALSE;2;0.439;1.446;1.42;1.007;0.981;2.581926514
Mud_1;Mud_1_slice_top;2026-04-03 11:57:20.000 GMT+02:00;46.959302;-2.173817;slice;mud;20-30;20;30;17.288;48.484;37.531;FALSE;2;0.53;1.533;1.509;1.003;0.979;2.392821535
Mud_1;Mud_1_slice_top;2026-04-03 11:57:20.000 GMT+02:00;46.959302;-2.173817;slice;mud;30-40;30;40;17.484;50.85;40.133;TRUE;2;0.527;1.529;1.509;1.002;0.982;1.996007984
Mud_1;Mud_1_slice_top;2026-04-03 11:57:20.000 GMT+02:00;46.959302;-2.173817;slice;mud;40-50;40;50;17.471;48.303;38.005;TRUE;2;0.527;1.55;1.534;1.023;1.007;1.56402737
Mud_1;Mud_1_slice_bot;2026-04-03 12:06:19.000 GMT+02:00;46.959298;-2.173827;slice;mud;50-60;50;60;17.479;51.742;41.689;FALSE;2;0.528;1.579;1.559;1.051;1.031;1.902949572
Mud_1;Mud_1_slice_bot;2026-04-03 12:06:19.000 GMT+02:00;46.959298;-2.173827;slice;mud;60-70;60;70;17.289;54.003;45.097;FALSE;2;0.548;1.614;1.601;1.066;1.053;1.219512195
Mud_1;Mud_1_slice_bot;2026-04-03 12:06:19.000 GMT+02:00;46.959298;-2.173827;slice;mud;70-80;70;80;17.468;53.455;44.267;FALSE;2;0.545;1.592;1.583;1.047;1.038;0.859598854
Mud_1;Mud_1_slice_bot;2026-04-03 12:06:19.000 GMT+02:00;46.959298;-2.173827;slice;mud;80-90;80;90;17.283;53.902;44.378;FALSE;2;0.553;1.6;1.588;1.047;1.035;1.146131805
Mud_1;Mud_1_slice_bot;2026-04-03 12:06:19.000 GMT+02:00;46.959298;-2.173827;slice;mud;90-100;90;100;17.293;54.005;44.753;FALSE;2;0.54;1.57;1.561;1.03;1.021;0.873786408
Mud_1;Mud_1_mix_top;2026-04-03 12:13:56.000 GMT+02:00;46.959337;-2.173833;mix;mud;full;0;100;17.277;53.049;41.868;FALSE;2.8;0.384;1.389;1.377;1.005;0.993;1.194029851
Mud_1;Mud_1_mix_bot;2026-04-03 12:18:00.000 GMT+02:00;46.959313;-2.173827;mix;mud;full;0;100;NA;NA;NA;NA;2.8;NA;NA;NA;NA;NA;NA
Mud_2;Mud_2_slice_top;2026-04-03 12:28:11.000 GMT+02:00;46.959337;-2.173848;slice;mud;0-10;0;10;17.482;50.122;38.834;FALSE;2;0.432;1.513;1.495;1.081;1.063;1.665124884
Mud_2;Mud_2_slice_top;2026-04-03 12:28:11.000 GMT+02:00;46.959337;-2.173848;slice;mud;10-20;10;20;17.475;47.434;36.971;FALSE;2;0.441;1.453;1.435;1.012;0.994;1.778656126
Mud_2;Mud_2_slice_top;2026-04-03 12:28:11.000 GMT+02:00;46.959337;-2.173848;slice;mud;20-30;20;30;17.284;47;35.581;FALSE;2;0.529;1.533;1.509;1.004;0.98;2.390438247
Mud_2;Mud_2_slice_top;2026-04-03 12:28:11.000 GMT+02:00;46.959337;-2.173848;slice;mud;30-40;30;40;17.479;50.376;40.319;FALSE;2;0.528;1.528;1.512;1;0.984;1.6
Mud_2;Mud_2_slice_top;2026-04-03 12:28:11.000 GMT+02:00;46.959337;-2.173848;slice;mud;40-50;40;50;17.482;50.069;38.738;FALSE;2;0.528;1.533;1.508;1.005;0.98;2.487562189
Mud_2;Mud_2_slice_bot;2026-04-03 12:33:40.000 GMT+02:00;46.959308;-2.173845;slice;mud;50-60;50;60;17.282;49.257;37.448;FALSE;2;0.53;1.545;1.511;1.015;0.981;3.349753695
Mud_2;Mud_2_slice_bot;2026-04-03 12:33:40.000 GMT+02:00;46.959308;-2.173845;slice;mud;60-70;60;70;17.296;50.727;41.043;FALSE;2;0.55;1.582;1.563;1.032;1.013;1.841085271
Mud_2;Mud_2_slice_bot;2026-04-03 12:33:40.000 GMT+02:00;46.959308;-2.173845;slice;mud;70-80;70;80;17.478;52.816;43.829;FALSE;2;0.545;1.548;1.53;1.003;0.985;1.794616152
Mud_2;Mud_2_slice_bot;2026-04-03 12:33:40.000 GMT+02:00;46.959308;-2.173845;slice;mud;80-90;80;90;17.477;51.919;42.991;FALSE;2;0.555;1.58;1.566;1.025;1.01;1.463414634
Mud_2;Mud_2_slice_bot;2026-04-03 12:33:40.000 GMT+02:00;46.959308;-2.173845;slice;mud;90-100;90;100;17.465;51.65;42.772;FALSE;2;0.541;1.547;1.535;1;0.988;1.2
Mud_2;Mud_2_mix_top;2026-04-03 12:42:41.000 GMT+02:00;46.959345;-2.173852;mix;mud;full;0;100;17.477;50.755;40.292;FALSE;2.8;0.432;1.467;1.452;1.035;1.02;1.449275362
Mud_2;Mud_2_mix_bot;2026-04-03 12:46:20.000 GMT+02:00;46.959385;-2.173888;mix;mud;full;0;100;NA;NA;NA;NA;2.8;NA;NA;NA;NA;NA;NA
Mud_3;Mud_3_slice_top;2026-04-03 12:52:35.000 GMT+02:00;46.959322;-2.173913;slice;mud;0-10;0;10;17.287;51.703;40.301;FALSE;2;0.387;1.399;1.379;1.012;0.992;1.976284585
Mud_3;Mud_3_slice_top;2026-04-03 12:52:35.000 GMT+02:00;46.959322;-2.173913;slice;mud;10-20;10;20;17.47;47.333;34.553;FALSE;2;0.392;1.4;1.378;1.008;0.986;2.182539683
